Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Hoffenheim,0,2,Bayer Leverkusen,2,3,2024-11-04,17:30,2,5,3
Mainz,0,2,RB Leipzig,0,0,2024-11-04,17:30,0,2,2
Union Berlin,0,0,Eintracht Frankfurt,2,3,2024-11-04,17:30,2,3,1
Darmstadt,1,1,Bochum,1,2,2024-11-03,22:30,2,3,1
Bayer Leverkusen,1,2,Freiburg,0,1,2024-10-29,19:30,1,3,2
Eintracht Frankfurt,2,3,Dortmund,1,3,2024-10-29,17:30,3,6,3
RB Leipzig,4,6,FC Koln,0,0,2024-10-28,19:30,4,6,2
Augsburg,1,3,Wolfsburg,2,2,2024-10-28,16:30,3,5,2
B. Monchengladbach,1,2,Heidenheim,1,1,2024-10-28,16:30,2,3,1
Bayern Munich,0,8,Darmstadt,0,0,2024-10-28,16:30,0,8,8
Stuttgart,0,2,Hoffenheim,2,3,2024-10-28,16:30,2,5,3
Werder Bremen,1,2,Union Berlin,0,0,2024-10-28,16:30,1,2,1
Bochum,1,2,Mainz,0,2,2024-10-27,21:30,1,4,3
Heidenheim,2,2,Augsburg,3,5,2024-10-22,18:30,5,7,2
FC Koln,1,3,B. Monchengladbach,0,1,2024-10-22,16:30,1,4,3
Mainz,1,1,Bayern Munich,2,3,2024-10-21,19:30,3,4,1
Darmstadt,1,1,RB Leipzig,2,3,2024-10-21,16:30,3,4,1
Freiburg,2,2,Bochum,1,1,2024-10-21,16:30,3,3,0
Hoffenheim,1,1,Eintracht Frankfurt,3,3,2024-10-21,16:30,4,4,0
Union Berlin,0,0,Stuttgart,1,3,2024-10-21,16:30,1,3,2
Wolfsburg,1,1,Bayer Leverkusen,1,2,2024-10-21,16:30,2,3,1
Dortmund,0,1,Werder Bremen,0,0,2024-10-20,21:30,0,1,1
Eintracht Frankfurt,1,2,Heidenheim,0,0,2024-10-08,20:30,1,2,1
Bayern Munich,2,3,Freiburg,0,0,2024-10-08,18:30,2,3,1
Bayer Leverkusen,2,3,FC Koln,0,0,2024-10-08,16:30,2,3,1
Werder Bremen,1,2,Hoffenheim,2,3,2024-10-07,19:30,3,5,2
Augsburg,0,1,Darmstadt,0,2,2024-10-07,16:30,0,3,3
Dortmund,1,4,Union Berlin,2,2,2024-10-07,16:30,3,6,3
RB Leipzig,0,0,Bochum,0,0,2024-10-07,16:30,0,0,0
Stuttgart,0,3,Wolfsburg,1,1,2024-10-07,16:30,1,4,3
B. Monchengladbach,1,2,Mainz,1,2,2024-10-06,21:30,2,4,2
Freiburg,1,2,Augsburg,0,0,2024-10-01,18:30,1,2,1
Darmstadt,2,4,Werder Bremen,0,2,2024-10-01,16:30,2,6,4
RB Leipzig,2,2,Bayern Munich,0,2,2024-09-30,19:30,2,4,2
Bochum,0,1,B. Monchengladbach,3,3,2024-09-30,16:30,3,4,1
FC Koln,0,0,Stuttgart,0,2,2024-09-30,16:30,0,2,2
Heidenheim,0,1,Union Berlin,0,0,2024-09-30,16:30,0,1,1
Mainz,0,0,Bayer Leverkusen,1,3,2024-09-30,16:30,1,3,2
Wolfsburg,1,2,Eintracht Frankfurt,0,0,2024-09-30,16:30,1,2,1
Hoffenheim,1,1,Dortmund,2,3,2024-09-29,21:30,3,4,1
Eintracht Frankfurt,0,0,Freiburg,0,0,2024-09-24,18:30,0,0,0
Bayer Leverkusen,1,4,Heidenheim,0,1,2024-09-24,16:30,1,5,4
Werder Bremen,1,2,FC Koln,1,1,2024-09-23,19:30,2,3,1
Augsburg,2,2,Mainz,1,1,2024-09-23,16:30,3,3,0
B. Monchengladbach,0,0,RB Leipzig,0,1,2024-09-23,16:30,0,1,1
Bayern Munich,4,7,Bochum,0,0,2024-09-23,16:30,4,7,3
Dortmund,0,1,Wolfsburg,0,0,2024-09-23,16:30,0,1,1
Union Berlin,0,0,Hoffenheim,2,2,2024-09-23,16:30,2,2,0
Stuttgart,2,3,Darmstadt,1,1,2024-09-22,21:30,3,4,1
Darmstadt,3,3,B. Monchengladbach,0,3,2024-09-17,18:30,3,6,3
Heidenheim,2,4,Werder Bremen,0,2,2024-09-17,16:30,2,6,4
Bochum,0,1,Eintracht Frankfurt,0,1,2024-09-16,19:30,0,2,2
FC Koln,0,1,Hoffenheim,2,3,2024-09-16,16:30,2,4,2
Freiburg,2,2,Dortmund,1,4,2024-09-16,16:30,3,6,3
Mainz,0,1,Stuttgart,0,3,2024-09-16,16:30,0,4,4
RB Leipzig,3,3,Augsburg,0,0,2024-09-16,16:30,3,3,0
Wolfsburg,2,2,Union Berlin,1,1,2024-09-16,16:30,3,3,0
Bayern Munich,1,2,Bayer Leverkusen,1,2,2024-09-15,21:30,2,4,2
Union Berlin,0,0,RB Leipzig,0,3,2024-09-03,18:30,0,3,3
Eintracht Frankfurt,0,1,FC Koln,1,1,2024-09-03,16:30,1,2,1
B. Monchengladbach,1,1,Bayern Munich,0,2,2024-09-02,19:30,1,3,2
Augsburg,1,2,Bochum,1,2,2024-09-02,16:30,2,4,2
Bayer Leverkusen,1,5,Darmstadt,1,1,2024-09-02,16:30,2,6,4
Hoffenheim,1,3,Wolfsburg,1,1,2024-09-02,16:30,2,4,2
Stuttgart,3,5,Freiburg,0,0,2024-09-02,16:30,3,5,2
Werder Bremen,1,4,Mainz,0,0,2024-09-02,16:30,1,4,3
Dortmund,2,2,Heidenheim,0,2,2024-09-01,21:30,2,4,2
Bayern Munich,2,3,Augsburg,0,1,2024-08-27,18:30,2,4,2
Mainz,1,1,Eintracht Frankfurt,0,1,2024-08-27,16:30,1,2,1
B. Monchengladbach,0,0,Bayer Leverkusen,2,3,2024-08-26,19:30,2,3,1
Bochum,1,1,Dortmund,0,1,2024-08-26,16:30,1,2,1
Darmstadt,1,1,Union Berlin,3,4,2024-08-26,16:30,4,5,1
FC Koln,0,1,Wolfsburg,0,2,2024-08-26,16:30,0,3,3
Freiburg,0,1,Werder Bremen,0,0,2024-08-26,16:30,0,1,1
Heidenheim,1,2,Hoffenheim,0,3,2024-08-26,16:30,1,5,4
